"name","surname","username","password","email","email_accepted","phone_number","user_intro","user_descr","notifications"
"Marcin","Krolczyk","mkrolczykkk","$2y$10$Lo7heUrhP8cMglrt//DNLeBwViH7GFQPKc7p8BFb540ZpwU5QYkzC","MarKro@gmail.com","t",,"","","f"
"UserTest","Test","UserTest1","$2y$10$LuVgWXPXqAEmteMlc4CK2OqQuBI3gNN27NuJ78hQDzdbBmy4EZ1sG","email@gmail.com","t",,"","","t"
"Tomek","Krolczyk","tom123","$2y$10$sWa7bsJlkJa5FeOsRZtKquindGnqUeM6HFAVo4kjxd6XgSr9DWxtq","tom@gmail.com","t",,"","","t"
"Emily","Wilson","ewilson","$2y$10$V3Va6XJ.J.NDARtGWTH2b.BmcNigjQVysJtonTaGyc4B1pj1MYfVK","ewilson@example.com","t",,"","","t"
"William","Taylor","wtaylor","$2y$10$gdOBnez.gXwYeMQ80EW3oeBN7pl7EFTMiHn8Mup3LaonFTIaGYLd.","wtaylor@example.com","t",,"","","t"
"Sophia","Anderson","sanderson","$2y$10$ytZmYJqs5.V32vCEqkT3AOFbb.2F78FaKpwV8yclDNUfVQGuJWTYy","sanderson@example.com","t",,"","","t"
"Noah","Moore","nmoore","$2y$10$LPU9W2Z9fBfyLhnkQHC7IOwISmf9CBdNdtqPQgefj/HHbE1K.QYxG","nmoore@example.com","t",,"","","t"
"Emma","Jackson","ejackson","$2y$10$CMFJx4jEo2Ofy0plrUii6.4f4E5cGEwBILr9JxOL4j/Uq6pJHzqe.","ejackson@example.com","t",,"","","f"
"Liam","Clark","lclark","$2y$10$No0LxWUEd2tvTTFETaus9eevjWlnx8E2t.lAfiUr58MAUW5xQHKWS","lclark@example.com","t",,"","","f"
"Olivia","Rodriguez","orodriguez","$2y$10$nhMyPJPAYADWamwRWmn5Lu3bnSMHHANAt9OjWKlkx6UTLM3oc339e","orodriguez@example.com","t",,"","","t"
"Ethan","Lee","elee","$2y$10$7nOh/owAItP5exvAikI9kOJoZcfRrBFkXp7kIH7y/r92o1ZOw.5zS","elee@example.com","t",,"","","t"
"Ava","Perez","aperez","$2y$10$j3D/AnoVwBGstetmmLIPquBCfDwmIgOi7SGwEr7/hYMqjV/dSnutO","aperez@example.com","t",,"","","t"
"Mason","Turner","mturner","$2y$10$.lGf5SfKo6ca7yQQG4TSTuKIXkR9FAa0b3C0TXUdVS/c/EhI1UWh2","mturnet@gmail.com","t",,"","","f"
"Julian","Boss","jBoss","$2y$10$.lGf5SfKo6ca7yQQG4TSTuKIXkR9FAa0b3C0TXUdVS/c/EhI1UWh2","JulianBoss@gmail.com","t",,"Boss","Owner of the shop","f"
"Bubbles","Smith","Bubbly","$2y$10$.lGf5SfKo6ca7yQQG4TSTuKIXkR9FAa0b3C0TXUdVS/c/EhI1UWh2","Bubbles@gmail.com","t",,"Employee 1","Employee 1","f"
"Ricky","Wells","Rickyy","$2y$10$.lGf5SfKo6ca7yQQG4TSTuKIXkR9FAa0b3C0TXUdVS/c/EhI1UWh2","Ricky@gmail.com","t",,"Employee 2","Employee 2","f"
